Draw Digit (0-9),Predictions,What the model sees (28x28),timestamp
"{""background"": "".gradio/flagged/Draw Digit 0-9/d4daa05d36f2128ebbcf/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/15e2c29da3ba3d86fdea/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/cd7a5528e639933a120a/composite.png"", ""id"": null}","{""label"": ""0"", ""confidences"": [{""label"": ""0"", ""confidence"": 0.9999961853027344}, {""label"": ""9"", ""confidence"": 3.7670811252610292e-06}, {""label"": ""2"", ""confidence"": 2.252540376446177e-09}]}",.gradio/flagged/What the model sees 28x28/ca77023908b668db1d79/image.webp,2026-01-09 15:28:26.336859
"{""background"": "".gradio/flagged/Draw Digit 0-9/23a108d8127192f8def8/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/f2e19690a5bdd073e09d/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/3ab20c8572012c66a008/composite.png"", ""id"": null}","{""label"": ""1"", ""confidences"": [{""label"": ""1"", ""confidence"": 0.9996610879898071}, {""label"": ""4"", ""confidence"": 0.00015209539560601115}, {""label"": ""6"", ""confidence"": 0.0001468796981498599}]}",.gradio/flagged/What the model sees 28x28/de439c66a7f42705ef12/image.webp,2026-01-09 15:28:40.371945
"{""background"": "".gradio/flagged/Draw Digit 0-9/7f04f692533b1c744010/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/2899dada4ef451383e13/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/5dc6669ded0331d28412/composite.png"", ""id"": null}","{""label"": ""2"", ""confidences"": [{""label"": ""2"", ""confidence"": 0.9999539852142334}, {""label"": ""7"", ""confidence"": 4.579615779221058e-05}, {""label"": ""1"", ""confidence"": 1.4398571579476993e-07}]}",.gradio/flagged/What the model sees 28x28/a1532a3d1fa13a91c563/image.webp,2026-01-09 15:28:55.721397
"{""background"": "".gradio/flagged/Draw Digit 0-9/974fb16947902463d26b/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/34b2fbab002183b0cd01/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/b5165f1c28daece977ac/composite.png"", ""id"": null}","{""label"": ""3"", ""confidences"": [{""label"": ""3"", ""confidence"": 1.0}, {""label"": ""7"", ""confidence"": 2.345106686618692e-08}, {""label"": ""2"", ""confidence"": 6.285075571099696e-09}]}",.gradio/flagged/What the model sees 28x28/013ddd98df619a0e7d64/image.webp,2026-01-09 15:29:10.207073
"{""background"": "".gradio/flagged/Draw Digit 0-9/3b897a290127978e63bf/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/883a99060532214f147f/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/226c8731cfd87dcc5bd2/composite.png"", ""id"": null}","{""label"": ""4"", ""confidences"": [{""label"": ""4"", ""confidence"": 0.9999362230300903}, {""label"": ""9"", ""confidence"": 5.119589332025498e-05}, {""label"": ""8"", ""confidence"": 1.0200213182542939e-05}]}",.gradio/flagged/What the model sees 28x28/c5e39803228bd28121dc/image.webp,2026-01-09 15:29:23.914656
"{""background"": "".gradio/flagged/Draw Digit 0-9/0c339c46c2c31cfea170/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/74d9f45aecb87a6b975e/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/5b23320d0d76674324b9/composite.png"", ""id"": null}","{""label"": ""5"", ""confidences"": [{""label"": ""5"", ""confidence"": 0.999997615814209}, {""label"": ""9"", ""confidence"": 2.3738150503049837e-06}, {""label"": ""3"", ""confidence"": 5.141356140825337e-08}]}",.gradio/flagged/What the model sees 28x28/c7e44f6a8f0300ec0246/image.webp,2026-01-09 15:29:37.758866
"{""background"": "".gradio/flagged/Draw Digit 0-9/f063f24c2d2c6da852b8/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/6be8bc17b687ed06dee6/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/2051372450c48dca0865/composite.png"", ""id"": null}","{""label"": ""9"", ""confidences"": [{""label"": ""9"", ""confidence"": 0.999754011631012}, {""label"": ""8"", ""confidence"": 9.947275975719094e-05}, {""label"": ""4"", ""confidence"": 9.147130913333967e-05}]}",.gradio/flagged/What the model sees 28x28/d6c4609c25a6ce1fa61b/image.webp,2026-01-09 15:29:49.781212
"{""background"": "".gradio/flagged/Draw Digit 0-9/062024721795122c78b7/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/c3c36895a3404ef0c43d/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/7007dbf69116c859e0f5/composite.png"", ""id"": null}","{""label"": ""6"", ""confidences"": [{""label"": ""6"", ""confidence"": 0.9999526739120483}, {""label"": ""5"", ""confidence"": 3.89717570214998e-05}, {""label"": ""0"", ""confidence"": 8.040122338570654e-06}]}",.gradio/flagged/What the model sees 28x28/52e417a89959e269af7f/image.webp,2026-01-09 15:31:26.947568
"{""background"": "".gradio/flagged/Draw Digit 0-9/1bc7748fb64e32313dc0/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/b8dfeb5b9c996f349a83/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/a870ae532114649a9fb0/composite.png"", ""id"": null}","{""label"": ""7"", ""confidences"": [{""label"": ""7"", ""confidence"": 0.9997965693473816}, {""label"": ""2"", ""confidence"": 0.0001633107749512419}, {""label"": ""3"", ""confidence"": 2.7663600121741183e-05}]}",.gradio/flagged/What the model sees 28x28/b7a604b3fbd6c07ea6d2/image.webp,2026-01-09 15:31:39.021886
"{""background"": "".gradio/flagged/Draw Digit 0-9/cd2477d7dbc3f2d08e6f/background.png"", ""layers"": ["".gradio/flagged/Draw Digit 0-9/f285ef4db71af8fb537c/layer_0.png""], ""composite"": "".gradio/flagged/Draw Digit 0-9/8d811c495dd3aaf4baac/composite.png"", ""id"": null}","{""label"": ""8"", ""confidences"": [{""label"": ""8"", ""confidence"": 0.9773862361907959}, {""label"": ""9"", ""confidence"": 0.02259783260524273}, {""label"": ""2"", ""confidence"": 7.5366056080383714e-06}]}",.gradio/flagged/What the model sees 28x28/6a6a2a8c09c95d984b53/image.webp,2026-01-09 15:31:53.245369
